,battery_voltage,battery_current,engine_temperature,motor_efficiency,tire_pressure,fuel_efficiency,speed,acceleration,driving_distance,ambient_temperature,humidity,road_condition,last_service_distance,service_frequency,repair_cost,downtime,fault_type,time_since_last_fault
0,12.623620356542087,11.479652509351688,83.08528418679529,93.45405988417797,35.71995878283593,13.936355202774422,77.79083448933864,0.1163983641866623,360.1339619736978,35.67890057013474,46.15485729266889,0,14137.96259426629,5000,200,1,2,3
1,14.352142919229747,23.96653315824253,82.3489399536,95.93362794382745,38.05432329299986,14.734356593750212,20.686363452619947,0.560317584693388,343.64150220656387,16.2680240909749,43.303846736198224,2,7157.749964426894,15000,200,1,0,4
2,13.695981825434217,35.553104255674285,115.31272902605184,85.00935797584998,37.60160929790159,18.545473932021803,104.6873476025778,2.493737415269828,47.87709933167883,26.24551359180422,32.33077387520021,2,5435.949217925944,5000,100,1,0,10
3,13.29597545259111,30.62787102433464,82.47730999247531,92.49748199213998,31.538999046937736,13.40004386059892,73.57394868830897,2.3003050690150078,461.28620245290006,11.80241489862939,62.50866690710416,1,8054.105309715149,10000,200,2,3,1
4,11.96805592132731,33.22964017515074,83.59748630643155,91.43491966287498,31.492494697414735,18.69649684812171,18.86446602683451,1.0519280743714408,284.2361010784098,21.50172887712191,53.36369123560402,0,11958.023148257802,10000,200,2,1,11
5,11.967983561008609,28.057417834875107,107.96991312089818,96.65660753576542,32.681743677449134,10.881344309766916,115.48056689774482,1.1304318833226374,181.8627605678421,7.028796871055935,80.59906946268026,0,14511.122009762665,5000,200,4,3,4
6,11.674250836504598,29.229679758124835,92.486992122527,98.1217412096252,33.610747263410374,17.767984372086307,62.20385560023848,1.6006633006607385,378.2692917476533,5.057950989272268,22.24767063374408,0,5770.319999841139,15000,100,3,2,4
7,14.098528437324806,34.72184780478618,108.83552784775908,80.24313542954773,34.08455581408482,18.47547633054737,8.7478142245986,0.0007230140554036,128.68272920081702,18.911489308475684,65.07075492885885,0,5284.838105492715,5000,200,1,0,9
8,13.303345035229626,13.738380310071507,73.26830787821926,93.48039838117586,36.796972168333454,11.818176528373389,75.21994852980806,0.7237330081140836,346.7549185231602,14.90648370919902,73.40642149580927,0,13841.47212985722,5000,100,1,3,8
9,13.624217733388136,22.12987372750992,94.3785596836692,81.03671598239458,30.566804321658356,14.303465323722005,30.38386884153723,0.6246954258246433,19.85560378612361,18.976818457499053,73.16405984318149,0,12481.452691031413,10000,100,1,1,2
10,11.561753482887408,12.742330463686075,71.68068000916413,90.97717330154713,30.346727042260664,11.654997746636557,96.4432142252763,0.7514488402492904,419.704018804636,4.33302906435115,82.02517769668675,1,14922.485791555751,5000,500,1,2,7
11,14.409729556485985,39.568380279882646,73.13266017276773,85.75265458087357,33.91910562943909,17.066041289942177,98.13864882794287,2.417717527600324,224.08542351065924,8.347891590849763,71.03236199806459,0,8967.928814656532,15000,100,1,3,6
12,13.997327922401263,38.04207688903146,115.32187266722056,86.13553199044283,36.971636921379805,15.353477680616567,117.47368270255944,0.8390215696393295,318.34645717897087,-5.805101968554535,84.94670431533874,0,9160.509051367691,5000,100,1,1,7
13,12.137017332034828,6.379938397897707,76.96226855587976,87.05917006904713,31.934353429564823,16.35323346708321,60.224343722940446,0.5745639661504445,110.61890990334184,-7.386181386389714,43.2859619874624,0,6723.118372974496,10000,200,1,2,11
14,12.045474901621304,29.695131038049094,96.62103411376086,92.4258489809922,36.41504481256251,11.96486966956211,54.594825567328456,1.5127903823790945,338.53685632922395,2.672856483650813,55.224659172608014,1,6158.471525973385,15000,300,1,0,4
15,12.0502135295603,37.3836911095483,90.55478013003533,86.68099931337538,32.59828137940299,12.117458620524197,90.41707265357768,2.596935109118196,386.1201379466383,-6.287657033472712,20.985576429802347,0,10787.18010590238,10000,200,1,2,5
16,12.412726728878614,11.320137079456671,87.36716631294213,94.6539810118056,38.86086108813517,10.414973255099063,15.896478761031188,0.7240491115124996,236.60659344219937,-4.811264568262965,20.487031111230387,1,8642.850012948325,5000,300,4,1,6
17,13.074269294896713,24.878083069342036,114.9916672843636,88.0905477114774,38.95689944266616,13.220675351957295,65.6298616551749,0.235608728378396,308.86346203089715,30.64642026969685,36.8088634316064,2,5803.164479452451,5000,300,2,3,9
18,12.795835055926348,37.04209041558146,71.09116983877448,81.36706400619917,32.972872042813265,15.59744661333675,65.54971201570211,1.069214207548994,228.1629619111993,-8.056315149165535,27.056503799735967,0,13869.870695233198,10000,100,4,3,2
19,12.373687420594123,6.18810925050296,103.18948430877946,95.67519684968217,32.2999375396324,18.57934913997329,10.736774737246469,2.2429554736949333,447.04568462892274,22.94713969673714,38.21479575550275,1,6983.56468249333,10000,100,1,2,11
